date,Labor Force,Employed,Unemployed,UR,ctotal,lockdown,e_stimulus,unemployment_extension
2006-01-01,121900,113900,8000,6.5,1483,0,0,0
2006-02-01,122100,113800,8300,6.8,851,0,0,0
2006-03-01,121900,114100,7800,6.4,335,0,0,0
2006-04-01,122300,114600,7700,6.3,1053,0,0,0
2006-05-01,122900,115200,7600,6.2,2070,0,0,0
2006-06-01,124500,116900,7700,6.2,1896,0,0,0
2006-07-01,124700,116300,8300,6.7,2251,0,0,0
2006-08-01,124300,116600,7700,6.2,2058,0,0,0
2006-09-01,121900,114600,7400,6.0,1918,0,0,0
2006-10-01,121600,114800,6800,5.6,1970,0,0,0
2006-11-01,122000,115300,6600,5.4,1798,0,0,0
2006-12-01,121500,115200,6300,5.2,1763,0,0,0
2007-01-01,120200,112700,7500,6.3,1496,0,0,0
2007-02-01,119600,112400,7100,6.0,1263,0,0,0
2007-03-01,119500,113100,6500,5.4,1700,0,0,0
2007-04-01,118800,112000,6800,5.8,1702,0,0,0
2007-05-01,119800,113100,6700,5.6,1856,0,0,0
2007-06-01,121800,114500,7300,6.0,2108,0,0,0
2007-07-01,122100,114300,7800,6.4,2233,0,0,0
2007-08-01,121400,114100,7300,6.0,2206,0,0,0
2007-09-01,120700,113600,7100,5.9,2105,0,0,0
2007-10-01,120600,114000,6600,5.5,1961,0,0,0
2007-11-01,121300,114500,6800,5.6,1775,0,0,0
2007-12-01,120800,113500,7300,6.1,1552,0,0,0
2008-01-01,120700,112300,8400,6.9,3380,0,0,0
2008-02-01,120100,111700,8400,7.0,3364,0,0,0
2008-03-01,120200,112300,7900,6.6,3367,0,1,0
2008-04-01,120800,113400,7500,6.2,3363,0,0,0
2008-05-01,122200,113800,8400,6.9,3361,0,0,0
2008-06-01,124100,115600,8600,6.9,1553,0,0,0
2008-07-01,124500,115400,9100,7.3,2322,0,0,0
2008-08-01,124600,115400,9200,7.4,2257,0,0,0
2008-09-01,123500,114500,9000,7.3,1941,0,0,0
2008-10-01,124200,115600,8600,7.0,1834,0,0,0
2008-11-01,123400,114500,8900,7.2,1686,0,0,0
2008-12-01,122500,113000,9600,7.8,1521,0,0,0
2009-01-01,122200,110300,11800,9.7,1584,0,0,0
