date,sexual,violent,property,Labor Force,Employed,Unemployed,UR,ctotal,lockdown,e_stimulus,crime_rate,UR-2,unemployment_extension
2006-01-01,45,466,972,121900,113900,8000,6.5,1483,0,0,6.082854799015587,6.4,0
2006-02-01,18,301,532,122100,113800,8300,6.8,851,0,0,3.484848484848485,6.3,0
2006-03-01,6,114,215,121900,114100,7800,6.4,335,0,0,1.3740771123872024,6.2,0
2006-04-01,18,347,688,122300,114600,7700,6.3,1053,0,0,4.3049877350776775,6.2,0
2006-05-01,43,712,1315,122900,115200,7600,6.2,2070,0,0,8.421480878763221,6.7,0
2006-06-01,36,595,1265,124500,116900,7700,6.2,1896,0,0,7.614457831325301,6.2,0
2006-07-01,48,672,1531,124700,116300,8300,6.7,2251,0,0,9.025661587810745,6.0,0
2006-08-01,30,596,1432,124300,116600,7700,6.2,2058,0,0,8.27835880933226,5.6,0
2006-09-01,38,554,1326,121900,114600,7400,6.0,1918,0,0,7.867104183757177,5.4,0
2006-10-01,38,556,1376,121600,114800,6800,5.6,1970,0,0,8.10032894736842,5.2,0
2006-11-01,30,497,1271,122000,115300,6600,5.4,1798,0,0,7.368852459016393,,0
2006-12-01,29,479,1255,121500,115200,6300,5.2,1763,0,0,7.255144032921811,,0
2007-01-01,36,407,1053,120200,112700,7500,6.3,1496,0,0,6.222961730449251,5.4,0
2007-02-01,31,397,835,119600,112400,7100,6.0,1263,0,0,5.280100334448161,5.8,0
2007-03-01,35,537,1128,119500,113100,6500,5.4,1700,0,0,7.112970711297071,5.6,0
2007-04-01,31,522,1149,118800,112000,6800,5.8,1702,0,0,7.163299663299663,6.0,0
2007-05-01,37,600,1219,119800,113100,6700,5.6,1856,0,0,7.746243739565943,6.4,0
2007-06-01,41,667,1400,121800,114500,7300,6.0,2108,0,0,8.65353037766831,6.0,0
2007-07-01,37,636,1560,122100,114300,7800,6.4,2233,0,0,9.144144144144144,5.9,0
2007-08-01,31,599,1576,121400,114100,7300,6.0,2206,0,0,9.085667215815485,5.5,0
2007-09-01,27,596,1482,120700,113600,7100,5.9,2105,0,0,8.719966859983431,5.6,0
2007-10-01,24,571,1366,120600,114000,6600,5.5,1961,0,0,8.130182421227197,6.1,0
2007-11-01,31,489,1255,121300,114500,6800,5.6,1775,0,0,7.316570486397362,,0
2007-12-01,21,465,1066,120800,113500,7300,6.1,1552,0,0,6.4238410596026485,,0
2008-01-01,20,768,2592,120700,112300,8400,6.9,3380,0,0,14.001657000828502,6.6,0
2008-02-01,4,768,2592,120100,111700,8400,7.0,3364,0,0,14.004995836802664,6.2,0
2008-03-01,7,768,2592,120200,112300,7900,6.6,3367,0,1,14.005823627287855,6.9,0
2008-04-01,3,768,2592,120800,113400,7500,6.2,3363,0,0,13.919701986754967,6.9,0
2008-05-01,1,768,2592,122200,113800,8400,6.9,3361,0,0,13.752045826513914,7.3,0
2008-06-01,32,429,1092,124100,115600,8600,6.9,1553,0,0,6.257050765511684,7.4,0
2008-07-01,41,679,1602,124500,115400,9100,7.3,2322,0,0,9.325301204819278,7.3,0
2008-08-01,49,638,1570,124600,115400,9200,7.4,2257,0,0,9.056982343499197,7.0,0
2008-09-01,33,548,1360,123500,114500,9000,7.3,1941,0,0,7.8582995951417,7.2,0
2008-10-01,30,483,1321,124200,115600,8600,7.0,1834,0,0,7.383252818035427,7.8,0
2008-11-01,39,487,1160,123400,114500,8900,7.2,1686,0,0,6.831442463533225,,0
2008-12-01,31,437,1053,122500,113000,9600,7.8,1521,0,0,6.208163265306123,,0
2009-01-01,38,483,1063,122200,110300,11800,9.7,1584,0,0,6.481178396072014,9.8,0
2009-02-01,21,383,911,121500,109400,12100,9.9,1315,0,0,5.411522633744856,9.8,0
2009-03-01,22,513,1033,121200,109300,11900,9.8,1568,0,0,6.46864686468647,9.8,0
2009-04-01,32,531,1183,122500,110500,12000,9.8,1746,0,0,7.126530612244897,10.1,0
2009-05-01,46,613,1398,122300,110300,12000,9.8,2057,0,0,8.409648405560098,10.0,0
2009-06-01,27,580,1260,124300,111700,12600,10.1,1867,0,0,7.51005631536605,10.0,0
2009-07-01,42,643,1361,124400,111900,12500,10.0,2046,0,0,8.223472668810288,10.4,0
2009-08-01,38,633,1490,124000,111600,12400,10.0,2161,0,0,8.713709677419354,9.9,0
2009-09-01,28,578,1424,122400,109700,12700,10.4,2030,0,0,8.292483660130719,9.7,0
2009-10-01,34,552,1415,121900,109800,12100,9.9,2001,0,0,8.20754716981132,10.0,0
2009-11-01,21,456,1356,121400,109600,11800,9.7,1833,0,0,7.549423393739704,,0
2009-12-01,31,452,1142,119800,107800,12000,10.0,1625,0,0,6.782136894824707,,0
2010-01-01,36,457,1082,117400,103900,13400,11.5,1575,0,0,6.707836456558773,10.8,0
2010-02-01,20,414,904,116700,103700,13000,11.2,1338,0,0,5.732647814910025,10.5,0
2010-03-01,28,513,1064,117000,104400,12600,10.8,1605,0,0,6.8589743589743595,10.4,0
2010-04-01,17,490,1223,118400,106000,12400,10.5,1730,0,0,7.305743243243243,10.8,0
2010-05-01,46,538,1347,118300,106100,12300,10.4,1931,0,0,8.1614539306847,11.2,0
