,Area,Labor Force,Employed,Unemployed,Unemployment Rate                                                                                                                                                                      ,Date
720,Buffalo City,107900,101900,6000,5.5,2019-12-01
721,Buffalo City,108200,102500,5700,5.3,2019-11-01
722,Buffalo City,108900,103300,5600,5.2,2019-10-01
723,Buffalo City,108600,103000,5700,5.2,2019-09-01
724,Buffalo City,109400,102800,6600,6.1,2019-08-01
725,Buffalo City,109600,102700,6900,6.3,2019-07-01
726,Buffalo City,108800,103000,5800,5.3,2019-06-01
727,Buffalo City,107700,102400,5300,5.0,2019-05-01
728,Buffalo City,106900,101800,5200,4.8,2019-04-01
729,Buffalo City,107800,102100,5700,5.3,2019-03-01
730,Buffalo City,107500,101400,6100,5.7,2019-02-01
731,Buffalo City,107900,101400,6500,6.0,2019-01-01
732,Buffalo City,107200,101800,5400,5.0,2018-12-01
733,Buffalo City,107400,102400,5000,4.6,2018-11-01
734,Buffalo City,108600,103600,5000,4.6,2018-10-01
735,Buffalo City,108700,103500,5200,4.8,2018-09-01
736,Buffalo City,109700,103400,6300,5.7,2018-08-01
737,Buffalo City,111000,104200,6800,6.1,2018-07-01
738,Buffalo City,110200,103900,6400,5.8,2018-06-01
739,Buffalo City,108900,103000,5800,5.4,2018-05-01
740,Buffalo City,107600,101400,6200,5.8,2018-04-01
741,Buffalo City,108000,101200,6800,6.3,2018-03-01
742,Buffalo City,107700,100100,7500,7.0,2018-02-01
743,Buffalo City,107300,99800,7400,6.9,2018-01-01
744,Buffalo City,107600,100900,6800,6.3,2017-12-01
745,Buffalo City,108400,101700,6700,6.2,2017-11-01
746,Buffalo City,109200,102500,6700,6.1,2017-10-01
747,Buffalo City,110600,103600,7000,6.3,2017-09-01
748,Buffalo City,111500,103300,8200,7.3,2017-08-01
749,Buffalo City,112000,103800,8200,7.3,2017-07-01
750,Buffalo City,111200,103700,7500,6.7,2017-06-01
751,Buffalo City,109700,102600,7100,6.5,2017-05-01
752,Buffalo City,109100,102200,6900,6.4,2017-04-01
753,Buffalo City,109200,102200,7000,6.4,2017-03-01
754,Buffalo City,108400,100700,7800,7.2,2017-02-01
755,Buffalo City,108600,100800,7800,7.1,2017-01-01
756,Buffalo City,107800,101000,6800,6.3,2016-12-01
757,Buffalo City,108400,101700,6600,6.1,2016-11-01
758,Buffalo City,109400,102400,7000,6.4,2016-10-01
759,Buffalo City,109700,102500,7200,6.6,2016-09-01
760,Buffalo City,110700,103000,7700,7.0,2016-08-01
761,Buffalo City,111200,103500,7700,6.9,2016-07-01
762,Buffalo City,110800,103800,7000,6.3,2016-06-01
763,Buffalo City,109600,103400,6200,5.7,2016-05-01
764,Buffalo City,109200,102400,6700,6.2,2016-04-01
765,Buffalo City,109600,102600,6900,6.3,2016-03-01
766,Buffalo City,109300,102200,7100,6.5,2016-02-01
767,Buffalo City,109600,102500,7100,6.5,2016-01-01
768,Buffalo City,110300,103700,6600,6.0,2015-12-01
769,Buffalo City,110200,103500,6700,6.1,2015-11-01
770,Buffalo City,111000,104000,6900,6.2,2015-10-01
771,Buffalo City,110800,103600,7200,6.5,2015-09-01
772,Buffalo City,112300,104200,8200,7.3,2015-08-01
773,Buffalo City,112800,104100,8700,7.7,2015-07-01
774,Buffalo City,112800,104700,8100,7.2,2015-06-01
775,Buffalo City,111800,103900,8000,7.1,2015-05-01
776,Buffalo City,110300,102700,7600,6.9,2015-04-01
777,Buffalo City,109800,102000,7700,7.1,2015-03-01
778,Buffalo City,109400,101200,8200,7.5,2015-02-01
779,Buffalo City,110300,101700,8600,7.8,2015-01-01
780,Buffalo City,109300,101900,7300,6.7,2014-12-01
781,Buffalo City,109800,101900,7900,7.2,2014-11-01
782,Buffalo City,110900,103200,7800,7.0,2014-10-01
783,Buffalo City,111100,102600,8500,7.7,2014-09-01
784,Buffalo City,112800,103100,9700,8.6,2014-08-01
785,Buffalo City,113300,103500,9800,8.7,2014-07-01
786,Buffalo City,113300,104100,9200,8.1,2014-06-01
